text,label
“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,0
WHO investigates new variant outbreaks.,1
WHO launches COVID-19 vaccine distribution program.,1
"A video by a Russia blogger who claims that a Spanish hospital he is recording, is empty and that the information on the spread of the coronavirus is exaggerated.",0
UNICEF distributes food and hygiene kits to families.,1
Bill Gates patented the coronavirus.,0
WHO investigates new variant outbreaks.,1
WHO launches COVID-19 vaccine distribution program.,1
False: Afghan Nationals Enter Pakistan Without Testing For COVID-19,0
"â€œIn Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.â€",0
UN supports countries in fighting the pandemic.,1
A tweet from Donald Trump in 2009 said that he would â€˜never let thousands of Americans die from a pandemicâ€™.,0
US President Donald Trump has failed to contain the coronavirus outbreak in the US as a result the Holy Quran is being read in the White House.,0
WHO investigates new variant outbreaks.,1
"Charles Lieber, Harvard university professor, has been arrested for â€œcreating and sellingâ€ the new coronavirus to China.",0
"â€œThere was no real scientific basis for believing thatâ€ social distancing would be necessary, â€œsince it had never been studied.â€",0
COVID-19 is being controlled in Africa because of widespread distribution of ivermectin,0
ICRC provides aid in emergency zones.,1
UN issues pandemic response guidelines.,1
WHO investigates new variant outbreaks.,1
November 2019 job listing for a quarantine advisor at the Centers for Disease Control and Prevention prove the government knew the COVID-19 would hit United States.,0
"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Frontline Doctors.",0
Facebook user asserted that U.S. President Donald Trump has announced a vaccine for COVID-19.,0
The federal government of Ethiopia blocked medical equipment meant to support Tigray Regional State in responding to the coronavirus disease,0
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,0
There is no excess mortality in Germany according to the official data of the Office for Statistics.,0
ICRC provides aid in emergency zones.,1
UNICEF initiates education support worldwide.,1
ICRC provides aid in emergency zones.,1
Holding your breath for 10 seconds will tell you if you have COVID-19.,0
WHO investigates new variant outbreaks.,1
WHO confirms progress in vaccine trials.,1
"A Whatsapp message claims COVID-19 doesnâ€™t cause pneumonia but thrombosis, and antiobiotics or Aspirin can help or cure the disease.",0
UN issues pandemic response guidelines.,1
ICRC strengthens hospital support in conflict areas.,1
"The mayor of the municipality of Socorro, in Santander, Colombia, was arrested for manipulating contracts in the midst of the coronavirus pandemic.",0
WHO investigates new variant outbreaks.,1
UN issues pandemic response guidelines.,1
UNICEF delivers protective equipment to schools.,1
UNICEF initiates education support worldwide.,1
WHO investigates new variant outbreaks.,1
Chinese panic video over coronavirus.,0
ICRC strengthens hospital support in conflict areas.,1
ICRC strengthens hospital support in conflict areas.,1
G-7 countries have asked Modi to lead them in preventing coronavirus.,0
UN issues pandemic response guidelines.,1
ICRC strengthens hospital support in conflict areas.,1
UNICEF delivers protective equipment to schools.,1
"Nancy Pelosi said, “if you accept a check from Trump, you might as well vote for him.”",0
"A post has been shared multiple times on Facebook, WhatsApp and Twitter by India-based users alongside a claim that the World Health Organization (WHO) has issued guidelines on COVID-19 lockdown.",0
A content that claims that Microsoft co-founder Bill Gates has been detained by the FBI for “biological terrorism” since “he created the coronavirus to control us.”,0
COVID-19 came to the United States in 2019.,0
ICRC strengthens hospital support in conflict areas.,1
"Archbishop of Colombo, Sri Lanka, Cardinal Malcom Ranjith filed a FR petition challenging the cremation of Catholics, who succumbed due to COVID-19.",0
Netflix is providing free access to the platform due to quarantine.,0
ICRC strengthens hospital support in conflict areas.,1
Can a WhatsApp Admin Be Arrested for Sharing Info on COVID-19?,0
ICRC strengthens hospital support in conflict areas.,1
A graphic claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus.,0
5G spreads the new coronavirus.,0
Inhaling the vapor of salted water can cure COVID-19.,0
Netflix is offering free access for those in quarantine.,0
WHO investigates new variant outbreaks.,1
Cuban researchers have developed a cure against COVID-19.,0
"Italy registered 4,200 new recovering cases from coronavirus in 24 hours.",0
The Palestinian Ministry of Health publishes a segmented map of Palestine in proportion to the terms of the deal of the century.,0
UNICEF distributes food and hygiene kits to families.,1
WHO launches COVID-19 vaccine distribution program.,1
Doctors and nurses in Italy are dying and are lying dead on the ground due to the coronavirus outbreak.,0
UNICEF distributes food and hygiene kits to families.,1
The homeopathic drug Arsenicum Album 30 can prevent coronavirus.,0
Police takes harsh step against Temple Priest for violating lockdown norms.,0
An image that states that the Costa Rican government prohibited the sale of liquor due to the pandemic.,0
WHO confirms progress in vaccine trials.,1
Image attributed to hardships of Sri Lankan Army essential workers are experiencing during COVID-19.,0
UN issues pandemic response guidelines.,1
ICRC provides aid in emergency zones.,1
WHO confirms progress in vaccine trials.,1
WHO confirms progress in vaccine trials.,1
UNICEF distributes food and hygiene kits to families.,1
ICRC provides aid in emergency zones.,1
Dettol can kill the new coronavirus.,0
WHO investigates new variant outbreaks.,1
WHO investigates new variant outbreaks.,1
A monkey is been infected with the coronavirus in this photo.,0
Masks hawker was admitted at the Kenyatta National Hospital in Kenya with COVID-19.,0
WHO launches COVID-19 vaccine distribution program.,1
WHO confirms progress in vaccine trials.,1
Video of Muslims applying their saliva to plates and spoons to spread the coronavirus disease.,0
Polish telecommunications provider PLAY has installed 5G antennas during quarantine.,0
UN supports countries in fighting the pandemic.,1
Traditional cures and self-checks for the coronavirus.,0
WHO confirms progress in vaccine trials.,1
UNICEF initiates education support worldwide.,1
"President Donald Trump said, “People are dying who have never died before.”",0
UN issues pandemic response guidelines.,1
Indian Telecom company Jio announced a free recharge worth Rs 498 for all Indian citizens during coronavirus lockdown,0
An article shared on Facebook claimed that the virus is fake and proven only by faulty testing.,0
UNICEF initiates education support worldwide.,1
A photo claims to show a prescription list of medications to treat coronavirus at home.,0
"The Greek government and parliament knew about the new coronavirus pandemic before it occured and thus, in the summer of 2019, rushed to make the new penal codes instructions regarding the protective measures in case of a disease outbreak official.",0
"Images taken of current lockdown times showing how Colombo, Sri Lanka, skies have cleared as a result of the COVID-19 curfew.",0
"A video shows US Federal Bureau of Investigation agents carrying boxes of N95 face masks out of a house and loading them into a truck. The masks are infected with COVID-19 and from China, and are the same masks that China has sent to Africa.",0
"Mixing Suavitel, vinegar, Clorox and water helps neutralize the coronavirus.",0
Chinese people are fleeing China to Vietnam because of coronavirus.,0
Video of the Kenya Government using a Maasai tribe man to impose social distancing in Kenya.,0
"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”",0
5G frequences are negatively affecting the oxygen absorbion by the human body and it worsen the symptoms of COVID-19.,0
ICRC provides aid in emergency zones.,1
An article stating that 25 police officers tested positive to Covid-19 after assisting positive migrants.,0
UNICEF distributes food and hygiene kits to families.,1
ICRC provides aid in emergency zones.,1
Here are the measures that Mercadona will implement due to the coronavirus crisis.,0
A message claimed that the Indian government plans to ease down the lockdown restrictions imposed in the country in five stages.,0
UNICEF initiates education support worldwide.,1
UNICEF delivers protective equipment to schools.,1
UN supports countries in fighting the pandemic.,1
UN issues pandemic response guidelines.,1
UNICEF initiates education support worldwide.,1
"Walmart, Amazon, Kroger, Target and Costco â€œhave not had any reported (coronavirus) cases in the news.â€",0
American Vice-President Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,0
WHO investigates new variant outbreaks.,1
"President of Mexico proposes to collect a tax of 500 pesos for each pet, to pay for social programs related to COVID-19.",0
59 people die as a pastor gave them Dettol disinfectant to drink to prevent coronavirus.,0
UNICEF delivers protective equipment to schools.,1
"An article attributes to the UN Secretary General, Antonio Guterres, a supposed call to create a global government with a single leader.",0
Photo shows a broken refrigerator with 1500 viruses in Wuhan.,0
WHO launches COVID-19 vaccine distribution program.,1
UN supports countries in fighting the pandemic.,1
Waris Pathan misbehaving with Maharashtra police (India) during lockdown.,0
Photo from the demonstration against meassures by the German government to stop the pandemic.,0
"Photo posts claim a person is committing suicide by jumping from a building in Italy, a doctor couple in an Italian hospital a few hours before their death and chaos in an Italian hospital amid COVID-19.",0
WHO launches COVID-19 vaccine distribution program.,1
WHO confirms progress in vaccine trials.,1
It is advisable to leave outside the shoes used on the street to prevent coronavirus.,0
A post claimed that photos of a man in a gold mask are of a religious leader who â€œasked his congregation for a gold mask because God revealed it to him in a dream.â€,0
WHO investigates new variant outbreaks.,1
ICRC provides aid in emergency zones.,1
KNUST students discover vaccine for coronavirus and cure patient in Côte d’Ivoire.,0
Alleged resignation of the ministry of health in Costa Rica.,0
UNICEF distributes food and hygiene kits to families.,1
Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.,0
“We have one of the lowest mortality rates in the world” from COVID-19.,0
The claim that there is a cure from the new coronavirus. The name of the drug is decametoxine.,0
"According to a graphic that circulated on social media, former Anakpawis party list representative Ariel Casilao apologized to the residents of Norzagaray, Bulacan, Philippines and asked that the charges against him be withdrawn.",0
"The COVID-19 epidemic is almost finished in the Netherlands. The government did not close a single shop. Tweeted initially by a former Bolsonaro minister, Osmar Terra, on 3/31/20.",0
UNICEF initiates education support worldwide.,1
UNICEF initiates education support worldwide.,1
UNICEF initiates education support worldwide.,1
UNICEF initiates education support worldwide.,1
WHO launches COVID-19 vaccine distribution program.,1
UN issues pandemic response guidelines.,1
UNICEF delivers protective equipment to schools.,1
Video shows Italian people greeting and clapping for China during the COVID-19 emergency.,0
ICRC strengthens hospital support in conflict areas.,1
ICRC strengthens hospital support in conflict areas.,1
People who replied to a French government text with texts saying they won’t respect confinement measures are now facing justice.,0
"If you ask Amazonâ€™s Alexa about the origin of the coronavirus pandemic, it says â€œthe government plannedâ€ it.",0
UN issues pandemic response guidelines.,1
Coronavirus has not affected Ghana.,0
UN issues pandemic response guidelines.,1
ICRC strengthens hospital support in conflict areas.,1
WHO confirms progress in vaccine trials.,1
Claim that photos show dogs being killed in China as part of efforts to combat COVID-19.,0
"Supermarket chain, Melcom is giving out GHâ‚µ 2,000 gift cards to every Ghanaian in response to COVID-19.",0
UNICEF initiates education support worldwide.,1
ICRC provides aid in emergency zones.,1
"A video showing migrant laborers from Surat city, in India, are being sent back to Surat after their home states refused to take them back at the state border.",0
German physician Wolfgang Wodarg claims the coronavirus is harmless.,0
"Spreading coronavirus is the interest of the USA, because American laboratories are operating not only around Russia but in the surroundings of Asian countries and in Georgia (Lugar lab).",0
"This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.",0
Coronavirus found in gutkha or chewing tobacco samples sold in Indian state of Maharashtra as raw material sourced from China.,0
Councilor Pen White-Chung said coronavirus is from the USA based on a Chinese academic study.,0
UN issues pandemic response guidelines.,1
WHO confirms progress in vaccine trials.,1
UNICEF initiates education support worldwide.,1
WHO investigates new variant outbreaks.,1
Aung San Suu Kyi is number one among women leader in combating coronavirus.,0
Dr. Bilgehan Bilgeâ€™s claims about the use of masks,0
"“This lady here applied sanitizer to her hands/forearms & went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.”",0
WHO confirms progress in vaccine trials.,1
Australian News Report Edited To Show Bananas Defend Against COVID-19,0
UN supports countries in fighting the pandemic.,1
A viral WhatsApp message suggests that lemongrass tea kills COVID-19.,0
Supposed quote from the Argentinian president alerting that government aid was going to be removed from those who violated the quarantine.,0
UN issues pandemic response guidelines.,1
A Priest’s Followers Thrashed Cop Amid COVID-19 Lockdown? No!,0
ICRC strengthens hospital support in conflict areas.,1
ICRC strengthens hospital support in conflict areas.,1
UNICEF initiates education support worldwide.,1
UNICEF distributes food and hygiene kits to families.,1
UNICEF distributes food and hygiene kits to families.,1
"Shaving facial hair ensures safety from COVID-19, further attributing the message to the CDC.",0
ICRC strengthens hospital support in conflict areas.,1
"Italian doctors discovered that COVID-19 causes thrombosis instead of pneumonia by doing autopsies on the dead, which is prohibited by the WHO.",0
WHO launches COVID-19 vaccine distribution program.,1
The Success of an Egyptian serum in treating coronavirus.,0
ICRC provides aid in emergency zones.,1
WHO investigates new variant outbreaks.,1
Nobel Prize Tasuku Honjo says the coronavirus was created by man in Wuhan.,0
UNICEF initiates education support worldwide.,1
"TV Globo used images of a collective funeral for the victims of a shipwreck in Lampedusa, in 2013, to illustrate a story about deaths by COVID-19 in Italy.",0
WHO investigates new variant outbreaks.,1
â€œCOV 19â€ was found inscribed on a circuit board for a 5G mast.,0
UN issues pandemic response guidelines.,1
UN supports countries in fighting the pandemic.,1
WHO confirms progress in vaccine trials.,1
China has successfully developed a vaccine ready to combat the coronavirus.,0
Video of a fire accident that took place at the Solapur Airport on 05 April 2020.,0
WHO investigates new variant outbreaks.,1
UN issues pandemic response guidelines.,1
WHO launches COVID-19 vaccine distribution program.,1
Italian police are being brutal on people not following lockdowns; India should follow.,0
"No, Image Of Cop Punishing Lockdown Violators is Not From India",0
"An article stating that Italian authorities knew about a promising drug that could cure Covid-19, but they ignored it.",0
"A post, claiming that Switzerland, Ukraine, Czech Republic and Turkey left the â€œcoronavirus projectâ€.",0
"Madrid enables 915,038,030 to request prescription drugs.",0
UN supports countries in fighting the pandemic.,1
A group prays in The Squares of Italy to get rid of coronavirus.,0
"Is This a Prank  to Keep Goans Inside Amid Lockdown? No, Old Clip",0
WHO launches COVID-19 vaccine distribution program.,1
The 2008 book â€œEnd of Daysâ€ predicted the current coronavirus outbreak.,0
Israel has manufactured the coronavirus vaccine,0
A video shows Pakistani minister of Health slapping those who do not obey official measures,0
"The COVID-19 death tool in SÃ£o Paulo (Brazil) has been reviewed, from 201 confirmed cases to only 26.",0
ICRC provides aid in emergency zones.,1
UN issues pandemic response guidelines.,1
A post shared thousands of times on Facebook claims the novel coronavirus does not affect people who are very fit or thin.,0
ICRC provides aid in emergency zones.,1
WHO confirms progress in vaccine trials.,1
"French professor Didier Raoult, director of IHU Marseille, told Africans not to take â€œBill Gatesâ€™ vaccineâ€ against coronavirus because it is â€œpoisonous.â€",0
"Ghanaâ€™s total confirmed cases of coronavirus is 1,064.",0
A scientific paper published in Nature in 2015 shows that the new virus was developed in labs.,0
WHO launches COVID-19 vaccine distribution program.,1
WHO investigates new variant outbreaks.,1
UN supports countries in fighting the pandemic.,1
A Salvadoran doctor published a protocol for patients diagnosed with COVID-19 and the care they should take to avoid visiting a doctor and how to take medication if they tested positive.,0
"A video claiming that COVID-19 only kills people who already had other diseases and treatment can be done at home with antibiotics. The statement is based on a study by Giampaolo Palma with 50 autopsies at Pope John XXIII Hospital in Bergamo, Italy.",0
ICRC provides aid in emergency zones.,1
WHO confirms progress in vaccine trials.,1
WHO investigates new variant outbreaks.,1
A Matt Damon movie trailer that predicts the coronavirus pandemic.,0
A video is doing the rounds on social media which claims that policemen are now being tested positive for the COVID-19.,0
WHO confirms progress in vaccine trials.,1
WHO launches COVID-19 vaccine distribution program.,1
Video of Woman Collapsing Shared as ‘Death Due to Coronavirus’,0
ICRC provides aid in emergency zones.,1
ICRC strengthens hospital support in conflict areas.,1
WHO investigates new variant outbreaks.,1
UNICEF initiates education support worldwide.,1
WHO investigates new variant outbreaks.,1
5G generates the coronavirus SARS-CoV-2 in human skin cells.,0
“19 Tigers fans got infected with COVID-19 in NY.”,0
UN supports countries in fighting the pandemic.,1
The body produces more cortisol when someone is wearing masks.,0
"Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the coronavirus is not natural.",0
Photo of Couple at Airport Shared as Italian Doctors' Last Moments,0
"Ambulance health care workers are transporting a coronavirus patient in The Hague (The Netherlands), dressed in white protective suits.",0
A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,0
"Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India).",0
ICRC provides aid in emergency zones.,1
FIT WebQoof: Can Cow Dung or Cow Urine Treat COVID-19?,0
ICRC provides aid in emergency zones.,1
WHO launches COVID-19 vaccine distribution program.,1
2018 Image From UP Shared as Namaz Offered in TN Amid Lockdown,0
ICRC provides aid in emergency zones.,1
WHO confirms progress in vaccine trials.,1
WHO investigates new variant outbreaks.,1
A photo shows South Carolina after stay-at-home orders were announced.,0
UNICEF delivers protective equipment to schools.,1
"The governor of SÃ£o Paulo, JoÃ£o Doria, was dancing at a party, ignoring the recommendations of the Ministry of Health to avoid crowds.",0
UNICEF delivers protective equipment to schools.,1
Messages linking scientist Bing Liuâ€™s death to â€œvery significant findingsâ€ about the coronavirus he was supposedly about to make at the University of Pittsburgh.,0
"European and South American flights cause chaos at Mexico Airport, due to coronavirus.",0
Video shows people falling dead on street as the COVID-19 situation in India intensified.,0
UNICEF delivers protective equipment to schools.,1
UNICEF initiates education support worldwide.,1
WHO confirms progress in vaccine trials.,1
UNICEF delivers protective equipment to schools.,1
â€œActorsâ€ applauded Macron when he visited the suburban city of Pantin near Paris.,0
UNICEF initiates education support worldwide.,1
Prince Charles recovered from COVID-19 with the help of Ayurvedic treatment.,0
UNICEF delivers protective equipment to schools.,1
UNICEF initiates education support worldwide.,1
"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government",0
WHO launches COVID-19 vaccine distribution program.,1
WHO launches COVID-19 vaccine distribution program.,1
UNICEF initiates education support worldwide.,1
A video claims to show Chinese Muslims performing a communal Friday prayer in a mosque despite the novel coronavirus pandemic.,0
WHO confirms progress in vaccine trials.,1
UNICEF delivers protective equipment to schools.,1
WHO confirms progress in vaccine trials.,1
UN issues pandemic response guidelines.,1
The new coronavirus survives on shoes and other surfaces.,0
ICRC strengthens hospital support in conflict areas.,1
Barack Obama “is the first ex-president to ever speak against his successor.”,0
"Alberto FernÃ¡ndez, about the coronavirus: â€œMortality in people over 65 is 80%â€.",0
Claims that drinking boiled garlic water cures novel coronavirus.,0
WHO investigates new variant outbreaks.,1
WHO launches COVID-19 vaccine distribution program.,1
"Asian giant hornet have been killing people in several countries, in an attack worse than the COVID-19 pandemic.",0
Flu symptoms are the same as those of COVID-19. â€ It also says that the â€œdeadly virusâ€ is actually an â€œexosomeâ€ and that deaths from other diseases are being â€œreclassifiedâ€.,0
ICRC provides aid in emergency zones.,1
UNICEF delivers protective equipment to schools.,1
The World Health Organization (WHO) said that no vegetarian has contracted COVID-19.,0
UNICEF initiates education support worldwide.,1
Social activist Trupti Desai was caught illegally buying liquor during the lockdown and was detained by the police.,0
Italy has surrendered to the coronavirus pandemic as all the measures to control COVID-19 have been exhausted.,0
Multiple Facebook and Twitter posts shared hundreds of times claim the World Health Organization (WHO) reported that no vegetarian has contracted the novel coronavirus.,0
UN issues pandemic response guidelines.,1
UNICEF delivers protective equipment to schools.,1
It is predicted that using Turmeric can cure coronavirus in India in a newborn baby suffering from birth defects.,0
UN issues pandemic response guidelines.,1
WHO confirms progress in vaccine trials.,1
"For every click on the Italian song RinascerÃ² rinascerai, YouTube donates money to a hospital in Bergamo.",0
ICRC provides aid in emergency zones.,1
7 kids died in Senegal right after receiving the vaccine for the coronavirus.,0
UNICEF distributes food and hygiene kits to families.,1
WHO launches COVID-19 vaccine distribution program.,1
Indiand entral government providing free scholarship and online tuition classes to school children.,0
ICRC provides aid in emergency zones.,1
WHO launches COVID-19 vaccine distribution program.,1
UNICEF delivers protective equipment to schools.,1
ICRC strengthens hospital support in conflict areas.,1
São Paulo city hall schedules coronavirus tests by phone.,0
ICRC strengthens hospital support in conflict areas.,1
WHO and the government give money bonds to the population to cope with the quarantine.,0
Ozone serves as a disinfectant against COVID-19.,0
An image has been shared multiple times on Facebook in Liberia in support of a claim that pastors were beaten for defying government restrictions on religious gatherings amid the novel coronavirus outbreak.,0
UN supports countries in fighting the pandemic.,1
The Italians accept Islam en masse.,0
UNICEF initiates education support worldwide.,1
The mayor of Curitiba in Brazil did not order the closure of shops and the city did not register any deaths by COVID-19.,0
Video of Chinese Prime Minister Li Keqiang visiting a mosque and offering prayers seeking protection to the country from coronavirus.,0
UNICEF initiates education support worldwide.,1
A video of the British Prime Minister while shopping from an Arab store after he was struck by COVID-19.,0
Spanish Guardia Civil recommends uninstalling the Zoom application.,0
"India Suing Bill Gates? No, Viral Facebook Post Makes False Claims",0
ICRC provides aid in emergency zones.,1
Travel permit for muslim people for Ramadan during the state of alarm in Spain.,0
UN supports countries in fighting the pandemic.,1
WHO launches COVID-19 vaccine distribution program.,1
UNICEF distributes food and hygiene kits to families.,1
UN supports countries in fighting the pandemic.,1
UN supports countries in fighting the pandemic.,1
UN supports countries in fighting the pandemic.,1
China exports masks infected with COVID-19.,0
WHO investigates new variant outbreaks.,1
A Muslim police officer is beating up a temple priest for breaking lockdown orders in India.,0
UN issues pandemic response guidelines.,1
"Indian government has started â€˜Rashtriya Sikshit Berojgar Yojanaâ€™ to provide relief package of Rs 50,000 to all ration cardholders, int he midst of COVID-19 crisis",0
People sneezing purposefully to spread coronavirus at Hazrat Nizamuddin mosque in Delhi.,0
A publication by Pearls news says 15 Nigerian senators have tested positive for COVID-19.,0
UNICEF initiates education support worldwide.,1
ICRC strengthens hospital support in conflict areas.,1
WHO confirms progress in vaccine trials.,1
UN issues pandemic response guidelines.,1
ICRC strengthens hospital support in conflict areas.,1
UNICEF delivers protective equipment to schools.,1
ICRC strengthens hospital support in conflict areas.,1
UN issues pandemic response guidelines.,1
UNICEF initiates education support worldwide.,1
The claim stated that Indiaâ€™s top business conglomerate Tata Group Chairman Ratan Tata said itâ€™s not time to think of profits but to think of survival.,0
UNICEF distributes food and hygiene kits to families.,1
ICRC provides aid in emergency zones.,1
WHO launches COVID-19 vaccine distribution program.,1
"A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data.",0
Several posts on social media and online articles claim that COVID-19 is caused by a bacterium and can be treated with aspirin and blood thinners.,0
WHO investigates new variant outbreaks.,1
WHO investigates new variant outbreaks.,1
WHO confirms progress in vaccine trials.,1
WHO investigates new variant outbreaks.,1
UNICEF distributes food and hygiene kits to families.,1
There is now a COVID-19 cure from the USA.,0
WHO confirms progress in vaccine trials.,1
Madagascar found a medicine for COVID-19 and will start distributing to the entire world.,0
UN issues pandemic response guidelines.,1
UNICEF delivers protective equipment to schools.,1
EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.,0
UNICEF delivers protective equipment to schools.,1
Egyptian doctor has invented a fluid to treat coronavirus.,0
WHO launches COVID-19 vaccine distribution program.,1
Pigs mulled in China are blamed for coronavirus.,0
UN supports countries in fighting the pandemic.,1
A train marked “COVID-19” was spotted in the U.S.,0
"Brazilian hospitals receive R$ 18,000 for each death registered with â€œsuspected COVID-19â€",0
A photo of a woman wearing an alleged body bag with only one hand is shared as a proof that the pandemic has been faked.,0
Old Video of Boris Johnson Shared as Footage After COVID Recovery,0
UNICEF distributes food and hygiene kits to families.,1
UNICEF delivers protective equipment to schools.,1
UNICEF delivers protective equipment to schools.,1
WHOâ€™s Deputy Head Ryan Paterson chocked from broccoli as he was about to disclose sensational information about COVID-19.,0
ICRC provides aid in emergency zones.,1
WHO investigates new variant outbreaks.,1
UNICEF initiates education support worldwide.,1
"As the AC in malls are shut due to Indian malls being shut due to COVID-19, leather of objects in showrooms has started moulding and people should not buy things from malls.",0
ICRC strengthens hospital support in conflict areas.,1
â€œEveryone is only dying of coronavirus now.â€,0
UNICEF initiates education support worldwide.,1
Using a non-dominant hand to open doors is a way to prevent coronavirus.,0
The viral video claims mass graves are in Italy.,0
WHO confirms progress in vaccine trials.,1
UNICEF delivers protective equipment to schools.,1
"The $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you're automatically going to owe $1,200 come tax season.”",0
UNICEF initiates education support worldwide.,1
"Akira’ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the (World Health Organization) advising Japan to postpone the Olympics because of a pandemic risk",0
Research shows that parts of the HIV genetic code have been inserted into the new coronavirus.,0
A video has been viewed hundreds of times in multiple posts on Facebook and Twitter alongside a claim it shows an Italian woman who committed suicide after contracting COVID-19.,0
Israel is fighting coronavirus without lockdowns and economic impact.,0
Gargling with warm salt water prevents Coronavirus.,0
Ambev company will distribute hand sanitizer to the population.,0
Photo of several members of the Government without maintaining social distance.,0
ICRC provides aid in emergency zones.,1
“Half the workforce in the country may have just been idled” by coronavirus.,0
Shanghai and Beijing had no cases of coronavirus.,0
The number of deaths from COVID-19 are exaggerated.,0
An article shared hundreds of times on Facebook claims that the Ethiopian government has approved a traditional medicine treatment for COVID-19 after successful clinical trials on animals and humans.,0
This Lysol disinfectant against coronavirus shows the virus is not new.,0
Professor Didier Raoult revealed that the United States and China have created COVID-19.,0
â€œMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonâ€™t survive it.â€,0
UN issues pandemic response guidelines.,1
WHO confirms progress in vaccine trials.,1
The CDC recommends men shave their beards to be protected against the new coronavirus.,0
UNICEF initiates education support worldwide.,1
Shi Zhengli announced a new epidemic.,0
Green tea is effective in preventing infections.,0
There is a pharmaceutical cure for COVID-19.,0
ICRC strengthens hospital support in conflict areas.,1
UN issues pandemic response guidelines.,1
UN issues pandemic response guidelines.,1
"A video has been viewed hundreds of thousands of times in multiple posts on Facebook, Twitter and YouTube alongside a claim it shows an Islamic call to prayer in Berlin after black clouds appeared in the sky. The posts claim the call was heard despite there being â€œno mosqueâ€ in the area.",0
WHO investigates new variant outbreaks.,1
UN issues pandemic response guidelines.,1
