text,outcome
Iranian child celebrity Anahita is suffering from COVID-19.,fake
"A picture with an old man sitting on the ground, and a caption saying that while he was hospitalized for COVID-19 his house was occupied by a Roma family.",fake
Drinking water every 10 minutes can send the virus into sthe omach and kill it.,fake
"Brazilian army built 2,000 hospital beds in 48 hours.",fake
“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,fake
Myanmar president and state counselor are under 14 days quarantine after meeting with a COVID-19 patient from Switzerland.,fake
Coffee cures the coronavirus.,fake
The number of deaths from COVID-19 is very small compared to other diseases.,fake
The coronavirus is an amplified bacterium and is related to 5G.,fake
"JoÃ£o Doria, governor of SÃ£o Paulo, forbade doctors to give chloroquine to COVID-19 patients.",fake
20 million Chinese convert to Islam after coronavirus.,fake
Fennel tea can cure the coronavirus.,fake
Vitamin C and lemon water prevent coronavirus.,fake
The private health system began offering antibody tests to detect COVID-19. At the same time that the Ministry of Health said it would buy antigen tests.,fake
"Italian MP Sara Cunial says Bill Gates kills people with vaccines and “terminator” seeds, and that he is behind the COVID-19 pandemic.",fake
Indian Social Activist Trupti Desai arrested for buying liquor during the COVID-19 lockdown.,fake
Indian nurse in Jeddah (Saudi Arabia) has been detected with novel coronavirus(2019-nCOV).,fake
Dr. Manish Patil died due to coronavirus in Maharasthra.,fake
Gujarat CM Vijay Rupani said that his government provided ration to 650 million people during the lockdown.,fake
An image from The Simpsons predicted the novel coronavirus.,fake
Cristiano Ronaldo turned his hotels into hospitals for COVID-19 patients.,fake
Northern Ireland Government has contingency plans for COVID-19 include turning Dundonald Ice Bowl into a morgue to store bodies temporarily.,fake
Claim that Saint Corona has always been a patron saint against epidemics.,fake
"A study proves that the coronavirus is a human creation, as a French Nobel Prize winner says.",fake
An image has been shared thousands of times in multiple posts on Twitter and Facebook which claim it shows overgrown shrubs at a theme park in Malaysia during a coronavirus lockdown.,fake
"Marines of French aircraft carrier Charles de Gaulle, contamined by COVID-19, were treated with hydroxychloroquine and azythromycin, and were cured at 99%.",fake
Coronavirus contains “HIV insertions.”,fake
A photo shows a Turkish MP wearing knitted mask in the Turkish parliement.,fake
Macedonian citizens are afraid to order from AliExpress because of coronavirus.,fake
Spanish cartoonist portreyed Turkeyâ€™s success on COVID-19.,fake
Saddam Hussein explains what coronavirus is about.,fake
"A post shared repeatedly on WhatsApp and Facebook claims a Chinese doctor has discovered that drinking tea is effective in curing and relieving symptoms of the novel coronavirus, COVID-19.",fake
Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19.,fake
A volunteer for Oxford coronavirus vaccine died.,fake
"Iranâ€™s former president Mahmoud Ahmadinejad: It is clear to the world that the mutated coronavirus was produced in a lab, manufactured by the warfare stock houses of biological war belonging to world powers.",fake
A video shows police killing COVID-19 affected people in China.,fake
"A video where dolphins appear swimming in a marina, supposedly due to the inactivity of the port caused by the coronavirus health crisis. This video has been circulated saying that it is the Promenade of Palma de Mallorca, the port of Denia (Alicante), the port of Moraira (Alicante) or the port of PremiÃ de Mar (Barcelona).",fake
"A video of a man, standing at a fresh food distribution center in Contagem, Brazil, claiming there was a shortage of food in Minas Gerais caused by lockdown measures. He claims the video was shot on March 31. The video was tweeted by Jair Bolsonaro, who later deleted it.",fake
22 travelers in Uganda for the EU-Uganda Business Summit scheduled for early March had refused to go into quarantine.,fake
The COVID-19 has been invented by a big French public medical institute (Institut Pasteur).,fake
Dr. Gerardo Dovakin found a vaccine against coronavirus.,fake
A photo has been shared hundreds of times on Facebook alongside a claim it shows coffins of coronavirus victims in Italy.,fake
"The COVID-19 death rate has been more than 10 times higher in SÃ£o Paulo, Rio de Janeiro and CearÃ¡ (states in which governors are currently opposing Jair Bolsonaro) than in Minas Gerais (whose governor supports Bolsonaro). The numbers have been inflated to make Bolsonaro look bad.",fake
Video from Pune shows COVID-19 patient collapsing on the streets and being taken away in an ambulance.,fake
"Claim that two-week isolation measures do not apply to North Macedonian President Stevo Pendarovski as they do to the leaders of SDSM and VMRO-DPMNE, Zoran Zaev and Hristijan Mickoski, after they were in contact with a journalist positive to coronavirus.",fake
Fake coronavirus pandemic is a cover-up for the â€œ5G disease.â€,fake
"In Almaty, the American BioLAB shows no signs of participating in the fight against coronavirus, while the whole of Kazakhstan has been making every effort for almost a month in the situation with the spread of coronavirus infection in the country.",fake
United Nations established the use of a microchip to identify people.,fake
Chinese masks imported by brazilian Ministry of Health are infected with the new coronavirus.,fake
The video shows the FBI seizing coronavirus-infected face masks sent from China.,fake
This is a photo of a chinese doctor and itâ€™s accompanied by recommendations to prevent COVID-19.,fake
Images of families breaching the safety distances related to the coronavirus this April 26 in Spain.,fake
A video shows a family killed by the coronavirus amid Chinaâ€™s multi-city lockdown.,fake
The Chinese authorities dumped dead bodies in the sea. These bodies were of patients who had died of coronavirus. The bodies are now washing up on the Hong Kong and Taiwan coasts.,fake
"Announcement on social media according to which markets in North Macedonia (Ramstore Capitol, Ramstore Center, Tinex Dramski, Tinex Prvomajska) had workers infected with coronavirus. Citizens are also urged to avoid these markets.",fake
Corona Outbreak: Did Zimbabwe Police Beat Up Churchgoers?,fake
Israel and USA have come up with a vaccine.,fake
â€œAntiviral measures lead to self-destruction and collective suicide.â€ â€“ Sucharit Bhakdi.,fake
A man is allegedly selling medical masks for 80 denars on a bus owned by the Skopje Public Transportation Enterprise.,fake
Alkaline diet protects against the coronavirus.,fake
"Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19.",fake
UV rays and sunlight can kill the coronavirus.,fake
"False: South Sudan's Chief Justice, Family Refused Testing For",fake
"A bovine coronavirus vaccine, for cattle, is proof that the novel coronavirus isnâ€™t â€œnewâ€ and is evidence of â€œhow much the media controls people.â€",fake
Photo of people following social distancing in a market in Manipur (India).,fake
Iceland tested its whole population.,fake
"COVID-19 Vaccine Ready, Can Cure Patients in 3 Hours? Fake Alert!",fake
A photo shows coronavirus victims lying in the streets in China.,fake
Hot baths can help prevent the coronavirus.,fake
"A scientific study about the new coronavirus according to which asymptomatic people would not be contagious. The study was conducted in China and it monitored 455 people who got in touch with a 22-years-old asymptomatic patient who tested positive for COVID-19, claiming that none of them caught the disease",fake
Social media posts criticize a photo from smiling president of the Goverment Pedro SÃ¡nchez during his holidays after thousands died from COVID-19,fake
"“Coronavirus, nasa Pilipinas na (coronavirus, already in the Philippines)” – (Jan. 28)",fake
A group of muslims pray together in roofs breaking the state of alarm in Spain.,fake
"The Indian health department has issued a notification advising people to drink only 50-80 ml of water, avoid spicy food, and not travel in crowded spaces till March 2020.",fake
A Facebook user shared a video that shows dead bodies being washed ashore at some unidentified beach.,fake
"A video has been viewed thousands of times in Facebook posts alongside a claim it shows a Sri Lankan doctor who invented a rapid test kit for the novel coronavirus, which causes the disease COVID-19.",fake
Saline solutions can kill the new coronavirus.,fake
China is supplying the Quran to people to read after the coronavirus outbreak.,fake
Bill Gates predicted and simulated the COVID-19 pandemic.,fake
20 million Chinese people convert to Islam after learning that COVID-19 doesnâ€™t affect muslims.,fake
"An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",fake
"Iberdrola, a Spanish electricity provider, offers a discount â€œfor the coronavirusâ€.",fake
"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”",fake
"Tedros Ghebreyesus, WHOâ€™s general director, said that masks produced in China and India are infected by Sars-CoV-2.",fake
â€œFlorida hospital reports a coronavirus â€˜infestationâ€™ with multiple confirmed patients.â€,fake
Message warns the population about the danger of drinking water as a transmitter of COVID-19.,fake
The police joined a demonstration in the German city of Dresden against the coronavirus rules.,fake
Message on Coronavirus (COVID-19) Neither From UNICEF Nor Accurate,fake
Disinfectant booths remove 99% of viruses.,fake
A photograph shared thousands of times on Facebook purports to show the blister-covered hand of a patient suffering from a new disease.,fake
"No, This is Not Bharat Biotech VP Being Injected With ‘Covaxin’",fake
The Peruvian Social Security is offering monetary help to some people included in a list to endure the quarantine.,fake
Posts shared thousands of times on social media list a number of adverse health effects linked to wearing face masks.,fake
Coronavirus is not new; there is a vaccine for dogs.,fake
There is 5G equipment labeled “COV-19”.,fake
Fennel tea is a cure against the new coronavirus.,fake
Video: Migrant labourers in Kerala gambling with huges stashes of cash amid lockdown.,fake
"Video showing police beating people in China, linked with the outbreak.",fake
President Trump claims the virus is under control and testing is available.,fake
The video of a father hugging his son in the middle of a seizure is shared with a text claiming itâ€™s related to COVID-19.,fake
An orangutan in the U.S. started to wash his hands imitating his keeper.,fake
An Egyptian writer predicted the new coronavirus six years ago.,fake
Image showing actions taken by Italy on the beaches to reduce the spread of coronavirus infection.,fake
"Says Joe Biden “was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!""",fake
Leader of North Korea Kim Jong-Un visits an infected woman without wearing a mask.,fake
"A video shows a man in a face mask, safety helmet and hi-vis work top. The man claims he has been installing â€œ5G mastsâ€ and has opened a 5G device and found a label that says â€œCOV.19â€ on a component on the circuit board inside.",fake
"Amid COVID-19 lockdown, food is being distributed in the Indian State of Tamil Nadu.",fake
"A video showing a portable ultraviolet light lamp as a product that â€œremovesâ€ the coronavirus â€œfrom your devices, mask, phoneâ€ in five seconds.",fake
Italians threw away their currency on the streets due to COVID-19 deaths.,fake
"Opposition parties in Japan have opposed all deliberation in parliament, blocking commission meetings for two days because they wanted to look more carefully into the contents of the supplementary budget.",fake
Facebook post claiming that the government of Germany is giving â‚¬300 bonus a month for every child with their â‚¬130 billion stimulus package following the COVID-19 crisis.,fake
Heineken is giving four kegs of beer for free to encourage people to stay at home.,fake
COVID-19 deaths are caused by bacteria and therefore the disease should be treated with aspirin.,fake
Sri Lankan police made an announcement stating that citizens are not allowed to post any update or share any forward related to coronavirus and it being a punishable offense.,fake
A post claiming that Uganda recorded its first COVID-19 death on March 25.,fake
A photo shows an 80-truck convoy of the Italian Army moving corpses of COVID-19 patients.,fake
India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.,fake
Trump announced that Roche Medical Company will launch a vaccine to cure COVID-19 in 3 hours.,fake
Video of the current situation in Italy due to coronavirus.,fake
7 Things The Coronavirus Fears? Thai Paper Publishes Misleading Report,fake
Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,fake
The Simpsons predicted the epidemic.,fake
Prolonged use of the mask causes hypoxia.,fake
CNBC reported that â€œCoronavirus patients without symptoms arenâ€™t driving the spread of the virusâ€ based on remarks by a WHO official at a press briefing on 8 June 2020.,fake
"In India, Tamil Naduâ€™s BJP party workers distributed drugs along with COVID-19 relief goods.",fake
Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.,fake
"Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.",fake
"An alleged tweet from the president of the Vox political party in Spain, Santiago Abascal, in which someone has to answer for the infected including a misspelling.",fake
Christine Lagarde admits that something must be done about old people living for too long.,fake
Video showing how Germans are converting to Islam in large numbers.,fake
Chinese medical supplies to Ghana contaminated with coronavirus.,fake
Mumbai Police congratulated a couple for marrying inside their house amidst the coronavirus lockdown.,fake
The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus.,fake
A photo of man with swollen face shows side effect of CoronaVac in Brazilian volunteer,fake
The COVID-19 pandemic “was combined at a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation.,fake
"A screenshot of a Nigerian television station showing a breakdown of “472 confirmed cases” has been shared on Facebook, Twitter, and WhatsApp alongside claims it shows novel coronavirus cases across the country.",fake
Woman committed suicide due to the coronavirus lockdown.,fake
Wearing masks for a long period of time can cause hypoxia.,fake
Singer Gusttavo Lima says â€˜never saw a president being so humiliated by media outletsâ€™.,fake
“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,fake
Hydroxychloroquine (HCQ) can prevent COVID-19.,fake
A post on Facebook claims a Nobel Prize-winning Japanese scientist has said the SARS-CoV-2 coronavirus that causes the potentially deadly COVID-19 disease was â€œmanufacturedâ€ by China.,fake
Video of the Kenyan Government using a Maasai tribe man to impose social distancing in Kenya.,fake
Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,fake
A picture of an empty field hospital in Brazil. Post claims that COVID-19 crisis is not real.,fake
Nigerians are “burning Chinese stores.”,fake
"Recently, Petrol companies reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",fake
"A video of a speech by Tedros Adhanom Ghebreyesus. On a voiceover, a man says that he is warning Brazil that imported masks from China and India are contaminated with the SARS-Cov-2",fake
"Former President of Bolivia Evo Morales: â€œIf I had to donate it would be to Argentina, this country have given me all, since the health services to a place to live.â€",fake
"A doctor from Rio de Janeiro, Brazil, releases audio saying isolation should be over since there are few patients with COVID-19 in the city.",fake
"COVID-19 was invented and patented years ago by the Institut Pasteur, a French medical research center",fake
The intestinal bacteria named Prevotella is actually killing patients suffering from COVID-19 after they are with the virus.,fake
A CBC news report would said that Chinese scientists from a Canadian lab sent the coronavirus to Wuhan.,fake
Education Ministry will approve the exams of every student in Spain.,fake
The Uruguayan Air Force announced that it will spray disinfectant from a helicopter to eradicate the new coronavirus.,fake
"Say televangelist Pat Robertson said some young people “are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies’ private parts and that’s where I think the (corona)virus came from.”",fake
Former Kenyan Prime minister Raila has donated Kshs 142 million for COVID-19.,fake
The departament of Guaviare in Colombia has 10 cases of coronavirus.,fake
Video of a Muslim man spitting into the food packages to spread coronavirus.,fake
A video shows healthcare workers dancing in a hospital. The caption says it was filmed in Israel after all COVID-19 patients in the hospital were cured.,fake
"Authorities from the Guatemalan Ministry of Health said they would buy at least 200 respirators, but there has been talk of a shortage of this type of medical equipment.",fake
5G spreads the new coronavirus.,fake
"A video has been viewed millions of times in multiple posts on Facebook, Weibo and Twitter alongside a claim it shows US Vice President Mike Pence delivering empty boxes to a hospital for a publicity stunt during the coronavirus crisis. The claim gained traction online after the the clip was aired on the US television show Jimmy Kimmel Live!, hosted by comedian Jimmy Kimmel.",fake
An official document details the instructions for schools in the post-lockdown period in France.,fake
A list of alleged remedies to treat coronavirus.,fake
Dead people are instantaneously declared as victims of the coronavÃ­rus.,fake
Posts that are circulating on Facebook say that people need to eat alkaline food in order to prevent a novel coronavirus infection.,fake
"The $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you're automatically going to owe $1,200 come tax season.”",fake
Drinking hot water prevents the COVID-19,fake
In a video a paramedic claims the risk to get COVID-19 increases when you wear a face mask.,fake
Viral claims propagating UNICEF message about coronavirus.,fake
Chinese people prayed with Muslims due to fear of COVID-19.,fake
Italian quarantine resulted in a local collapse and turned into a horror film for the whole world.,fake
COVID-19 is transmitted by farting,fake
A photo has been shared hundreds of times in multiple Facebook posts alongside a claim that it shows a hospital car park in Singapore which will be converted into wards during the novel coronavirus pandemic.,fake
Video shows fishes washed up to the Indian shores during the lockdown.,fake
A video claims to show coronavirus being extracted from a manâ€™s upper lip.,fake
"â€œBill Gates already has his vaccine ready for you (against covic-19, ed.), And hereâ€™s the patent.â€",fake
False document from the Government of Nuevo Leon in Mexico circulates.,fake
"The Spanish Tax Agency is sending an email to employers, who must fill out the attached document and return it in less than seven days to avoid the suspension of their businesses.",fake
Various groups in the Philippines will conduct Labor Day protests on the streets despite the enhanced community quarantine.,fake
Green or black tea with lemon and two spoons of fennel flower cures COVID-19.,fake
Barcelonaâ€™s council issued a notification of a new focus in two neighborhoods.,fake
"The French StopCovid App is tracking all your contacts, hence “you should delete my phone number if I’m in your phone’s contact”.",fake
"COVID-19 expenses reports have been set on fire in a Nuevo LeÃ³n building, Mexico.",fake
"In his televised evening address on Thursday, April 16, President Rodrigo Duterte said the Philippines was the first to impose a lockdown in Asia amid the coronavirus pandemic.",fake
This is a photo of the first Moroccan infected with the virus.,fake
Television anchor Omkaar infected with coronavirus.,fake
African skin and blood is resistant to coronavirus.,fake
"Environmental enzymes can prevent COVID-19. Use them to wash vegetables, wash your mouth, nostrils and hands.",fake
China has been the source of four epidemics since 2006.,fake
India has developed a treatment for coronavirus.,fake
Cuban scientists discovered that eucalyptus can help prevent and treat coronavirus.,fake
"MMS, essential oils are cures for the coronavirus.",fake
"“U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.”",fake
C5N released foreign images of the coronavirus as if they were local,fake
A video in Facebook claims that drinking seawater helps to prevent COVID-19 contagion.,fake
Golf courses are reopening in Ireland on 2nd May.,fake
Boiled ginger can cure the novel coronavirus.,fake
"State of emergency begins on  3/17/20, according to article 116 of the Constitution.",fake
"WHO has issued guidelines on how to implement lockdown in the country. As per those guidelines, after April 14 lockdown in India will be relaxed for 5 days and will be re-imposed.",fake
Georgian doctor created medicine Corvirant which treats coronavirus.,fake
Several blogs are claiming that the United Nations doubts that there is any active COVID-19 case in Nigeria.,fake
"Last week, the Valle del Lili Foundation in Cali summoned a press conference to speak about a â€œTreatment of infection with coronavirus (COVID-19).â€ It was â€œa treatment option through two medications such as: Hydroxychloroquine and Azithromycin, which can rapidly decrease the growth and expansion of the virus in the patient, decrease the possibility of serious illness or respiratory failure, as well as the possibility of contagion to others,â€ according to the press release.",fake
EU Commission president Ursula von der Leyen proposed for workers to do without their salary in solidarity with the economy.,fake
Four cases of coronavirus were reported in the West Bank.,fake
Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,fake
"Tanzania has reported 16,467 COVID-19 cases, 1,293 deaths, and 118 recoveries as of May 18.",fake
"North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”",fake
"Consuming 3 times a day a mixture of the juice of 10 lemons, honey, ginger, onion and 10 garlic cloves is the recipe that “prevents the coronavirus” and helps “recover from the virus”.",fake
Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures.,fake
A WhatsApp chain that says the Red Cross is offering 500 euro bonuses â€œfor the whole familyâ€ in the midst of the coronavirus crisis.,fake
Nobel Laureate Dr. Honjo has claimed COVID-19 virus to be man made in Wuhan Laboratory.,fake
COVID-19 is sparing essential workers.,fake
Images of patients treated in the open are from Italy as it has run out of hospital beds.,fake
The windy diagram of sulfur dioxide emission level over Wuhan indicated massive corpses burning there.,fake
A photo shows a COVID-19 vaccine that can cure a patient in three hours.,fake
Says Wisconsinâ€™s in-person election has caused a â€œsurgeâ€ in new coronavirus cases,fake
Old Video Revived With False Claims Of Mass Friday Prayers In China,fake
A video showing a Muslim woman misbehaving with doctors in India.,fake
Asymptomatic infected people “do not infect” other people.,fake
Consuming large doses of Vitamin C can stop the spread of coronavirus.,fake
"A Whatsapp message which claims that the Italian government sent â€œNasâ€ (a branch of the Carabinieri) to close the department in charge of plamsa-related therapies at Mantua hospital, where â€œthey cure COVID-19 in 48 hoursâ€. The government would have done that in order to obtain â€œBill Gatesâ€™ vaccineâ€.",fake
Philippines has issued an order mandating a compulsory quarantine for all travelers returning from 23 countries.,fake
"In Bawana, India, this man was preparing to spread the coronavirus by injecting spit into the fruit.",fake
Vodka can reduce the risk of Coronavirus infection.,fake
WHO said that asymptomatic patients donâ€™t transmit the new coronavirus.,fake
Says Nancy Pelosi was â€œcaught trying to include abortion funding in bill to combat coronavirus.â€,fake
Disposable masks can be reused if they are sterilized with steam.,fake
Claims that drinking boiled garlic water cures novel coronavirus.,fake
The leaves of the guava tree prevent and reverse the new coronavirus.,fake
A video shows a fortune teller predicting the coronavirus pandemic in December on Spanish TV.,fake
A video has been viewed thousands of times in multiple posts on Facebook and YouTube alongside a claim it shows that Jakarta Governor Anies Baswedan received an international award for â€œthe best governorâ€ in handling the novel coronavirus pandemic.,fake
â€œCoronavirus: Florida man arrested for robbery using cough as a weapon.â€,fake
31 coronavirus patients have recovered in Ghana.,fake
"FIT Webqoof: No, Garlic Water Cannot ‘Cure’ Coronavirus",fake
5G Technology believed to have caused the coronavirus.,fake
There is a patent for the new coronavirus.,fake
Quarantine may last for several years.,fake
"Dr. Anthony Fauci is â€œpushingâ€ remdesivir as a potential COVID-19 treatment drug, because he â€œinventedâ€ it with Bill Gates and they stand to profit from it.",fake
